backbone,dataset,method,train_seed,condition,score,alpha,rho_cal,rho_test,split_seed,probe_auroc,worst_group_acc,gate_status,gate_floor,worst_group_cov,worst_group_set_size,marg_cov,mean_set_size
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,1.2878787878787878,0.906559877955759,1.0122044241037376
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.303030303030303,0.8890160183066361,1.2528604118993134
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8867469879518072,1.057028112449799,0.8951182303585049,1.192601067887109
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2575757575757576,0.9042715484363082,1.188787185354691
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2727272727272727,0.8966437833714722,1.3554538520213577
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8746987951807229,1.0690763052208836,0.8886346300533944,1.120518688024409
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.900839054157132,1.126239511823036
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.8871090770404272,1.3489702517162472
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8979919678714859,1.0682730923694779,0.9069412662090007,1.3520213577421816
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9090909090909091,1.393939393939394,0.9202898550724637,1.358504958047292
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8546184738955823,1.0281124497991967,0.8867276887871853,1.2971014492753623
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9028112449799197,1.059437751004016,0.9099923722349351,1.2833714721586575
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9164658634538153,1.4779116465863453,0.9202898550724637,1.276887871853547
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.891566265060241,1.0401606425702812,0.8981693363844394,1.3062547673531655
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.121212121212121,0.9004576659038902,1.1903127383676584
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.9096109839816934,1.1929824561403508
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.8928299008390541,1.1578947368421053
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8650602409638555,1.1052208835341366,0.8802440884820748,1.1796338672768878
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8899598393574297,1.108433734939759,0.8943554538520213,1.181540808543097
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8779116465863454,1.05140562248996,0.8836765827612509,1.276887871853547
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8755020080321285,1.0538152610441767,0.8985507246376812,1.1693363844393592
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.4545454545454546,0.9115179252479023,1.1777269260106789
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8779116465863454,1.0481927710843373,0.8985507246376812,1.2753623188405796
resnet50_erm,waterbirds,erm,1,a_true,RAPS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.1515151515151516,0.8954996186117468,1.2006102212051868
resnet50_erm,waterbirds,erm,1,b_pred_test,RAPS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2575757575757576,0.9122807017543859,1.2120518688024409
resnet50_erm,waterbirds,erm,1,c_pred_both,RAPS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.303030303030303,0.9096109839816934,1.3192219679633868
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.0303030303030303,0.8745232646834478,1.2524790236460717
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.7727272727272727,1.1515151515151516,0.9038901601830663,1.2581998474446987
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,1.121212121212121,0.8890160183066361,1.2719298245614035
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,0.9393939393939394,0.8913043478260869,0.9874141876430206
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.6818181818181818,0.9393939393939394,0.9000762776506483,0.984744469870328
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.1363636363636365,0.889397406559878,1.1853546910755148
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8795180722891566,1.072289156626506,0.8878718535469108,1.1571319603356216
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.0909090909090908,0.9061784897025171,1.1563691838291381
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.1515151515151516,0.8962623951182304,1.345537757437071
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8987951807228916,1.180722891566265,0.9096109839816934,1.1495041952707856
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.1818181818181819,0.9286803966437833,1.1498855835240274
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2727272727272727,0.9054157131960335,1.3379099923722348
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9004016064257028,1.0755020080321285,0.9153318077803204,1.2925247902364607
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9090909090909091,1.2727272727272727,0.9328756674294432,1.2944317315026697
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8819277108433735,1.0240963855421688,0.8954996186117468,1.2459954233409611
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.8939759036144578,1.2473895582329317,0.9012204424103738,1.1502669717772693
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.1363636363636365,0.9221967963386728,1.1491228070175439
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.0909090909090908,0.9057971014492754,1.198321891685736
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.0,0.8954996186117468,1.2009916094584288
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.1363636363636365,0.9138062547673532,1.2055682684973303
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.121212121212121,0.8878718535469108,1.1281464530892449
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8795180722891566,1.0907630522088354,0.9157131960335622,1.2013729977116705
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.2727272727272727,0.9317315026697178,1.2017543859649122
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.196969696969697,0.9122807017543859,1.3070175438596492
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8827309236947791,1.0811244979919679,0.9084668192219679,1.217772692601068
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.2272727272727273,0.9271548436308161,1.2227307398932112
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2121212121212122,0.910373760488177,1.2170099160945842
resnet50_erm,waterbirds,erm,1,a_true,THR,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8698795180722891,1.3148594377510041,0.8852021357742181,1.188787185354691
resnet50_erm,waterbirds,erm,1,b_pred_test,THR,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.1515151515151516,0.9096109839816934,1.1941266209000763
resnet50_erm,waterbirds,erm,1,c_pred_both,THR,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8181818181818182,1.1515151515151516,0.8943554538520213,1.3020594965675056
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.121212121212121,0.881769641495042,1.2532418001525554
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.303030303030303,0.902745995423341,1.2665903890160184
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8181818181818182,1.2878787878787878,0.8939740655987796,1.276506483600305
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7878787878787878,1.2727272727272727,0.9004576659038902,1.0122044241037376
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,1.2878787878787878,0.906559877955759,1.0122044241037376
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.303030303030303,0.8890160183066361,1.2536231884057971
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8843373493975903,1.0538152610441767,0.8939740655987796,1.1910755148741419
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2575757575757576,0.9031273836765827,1.1876430205949657
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2878787878787878,0.8951182303585049,1.3543096872616323
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8746987951807229,1.0690763052208836,0.889397406559878,1.1216628527841344
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.9012204424103738,1.1270022883295194
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.8867276887871853,1.3485888634630054
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9004016064257028,1.0706827309236948,0.9080854309687262,1.353165522501907
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9090909090909091,1.393939393939394,0.9214340198321892,1.3596491228070176
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8554216867469879,1.0289156626506024,0.8871090770404272,1.297482837528604
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9036144578313253,1.0602409638554218,0.910373760488177,1.284134248665141
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9164658634538153,1.478714859437751,0.9210526315789473,1.2784134248665142
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.891566265060241,1.0401606425702812,0.8981693363844394,1.3066361556064072
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.121212121212121,0.8993135011441648,1.189168573607933
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.9080854309687262,1.1914569031273836
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.893211289092296,1.158276125095347
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8666666666666667,1.1068273092369478,0.8813882532418001,1.1807780320366132
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.891566265060241,1.1100401606425703,0.8951182303585049,1.1823035850495804
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.878714859437751,1.0522088353413654,0.8836765827612509,1.2772692601067888
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8755020080321285,1.0538152610441767,0.8985507246376812,1.1693363844393592
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.4545454545454546,0.9115179252479023,1.1777269260106789
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8779116465863454,1.0481927710843373,0.8985507246376812,1.2753623188405796
resnet50_erm,waterbirds,erm,2,a_true,APS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.1666666666666667,0.8954996186117468,1.2009916094584288
resnet50_erm,waterbirds,erm,2,b_pred_test,APS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2727272727272727,0.9118993135011442,1.2128146453089246
resnet50_erm,waterbirds,erm,2,c_pred_both,APS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.303030303030303,0.9107551487414187,1.3203661327231122
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.121212121212121,0.881769641495042,1.2532418001525554
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.303030303030303,0.902745995423341,1.2665903890160184
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8181818181818182,1.2878787878787878,0.8958810068649885,1.2784134248665142
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7878787878787878,1.2727272727272727,0.9004576659038902,1.0122044241037376
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,1.2878787878787878,0.906559877955759,1.0122044241037376
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.303030303030303,0.8890160183066361,1.2528604118993134
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8867469879518072,1.057028112449799,0.8951182303585049,1.192601067887109
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.2575757575757576,0.9042715484363082,1.188787185354691
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,2,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2727272727272727,0.8966437833714722,1.3554538520213577
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8746987951807229,1.0690763052208836,0.8886346300533944,1.120518688024409
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.900839054157132,1.126239511823036
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,3,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.3333333333333333,0.8871090770404272,1.3489702517162472
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8979919678714859,1.0682730923694779,0.9069412662090007,1.3520213577421816
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.9090909090909091,1.393939393939394,0.9202898550724637,1.358504958047292
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,4,0.9448348042346137,0.5095986038394416,kept,0.3,0.8546184738955823,1.0281124497991967,0.8867276887871853,1.2971014492753623
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9028112449799197,1.059437751004016,0.9099923722349351,1.2833714721586575
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.9164658634538153,1.4779116465863453,0.9202898550724637,1.276887871853547
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,5,0.9448348042346137,0.5095986038394416,kept,0.3,0.891566265060241,1.0401606425702812,0.8981693363844394,1.3062547673531655
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.121212121212121,0.9004576659038902,1.1903127383676584
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.9096109839816934,1.1929824561403508
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,6,0.9448348042346137,0.5095986038394416,kept,0.3,0.8333333333333334,1.2121212121212122,0.8928299008390541,1.1578947368421053
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8650602409638555,1.1052208835341366,0.8802440884820748,1.1796338672768878
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8899598393574297,1.108433734939759,0.8943554538520213,1.181540808543097
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,7,0.9448348042346137,0.5095986038394416,kept,0.3,0.8779116465863454,1.05140562248996,0.8836765827612509,1.276887871853547
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8755020080321285,1.0538152610441767,0.8985507246376812,1.1693363844393592
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.4545454545454546,0.9115179252479023,1.1777269260106789
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,8,0.9448348042346137,0.5095986038394416,kept,0.3,0.8779116465863454,1.0481927710843373,0.8985507246376812,1.2753623188405796
resnet50_erm,waterbirds,erm,2,a_true,RAPS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8787878787878788,1.1515151515151516,0.8954996186117468,1.2006102212051868
resnet50_erm,waterbirds,erm,2,b_pred_test,RAPS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.2575757575757576,0.9122807017543859,1.2120518688024409
resnet50_erm,waterbirds,erm,2,c_pred_both,RAPS,0.1,0.95,0.95,9,0.9448348042346137,0.5095986038394416,kept,0.3,0.8636363636363636,1.303030303030303,0.9096109839816934,1.3192219679633868
resnet50_erm,waterbirds,erm,2,a_true,THR,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.8484848484848485,1.0303030303030303,0.8745232646834478,1.2524790236460717
resnet50_erm,waterbirds,erm,2,b_pred_test,THR,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.7727272727272727,1.1515151515151516,0.9038901601830663,1.2581998474446987
resnet50_erm,waterbirds,erm,2,c_pred_both,THR,0.1,0.95,0.95,0,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,1.121212121212121,0.8890160183066361,1.2719298245614035
resnet50_erm,waterbirds,erm,2,a_true,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.7575757575757576,0.9393939393939394,0.8913043478260869,0.9874141876430206
resnet50_erm,waterbirds,erm,2,b_pred_test,THR,0.1,0.95,0.95,1,0.9448348042346137,0.5095986038394416,kept,0.3,0.6818181818181818,0.9393939393939394,0.9000762776506483,0.984744469870328
